order_id,date,month,month_num,product,category,qty,unit_price,discount_pct,revenue,city,channel,rating
FNB-30126,2024-01-01,January,1,Kopi Arabica 250g,Kopi,3,85000,0,255000,Semarang,Tokopedia,4.9
FNB-30274,2024-01-03,January,1,Granola Original,Snack,5,75000,5,356250,Palembang,Tokopedia,4.4
FNB-30340,2024-01-03,January,1,Granola Original,Snack,3,75000,5,213750,Semarang,Tokopedia,4.8
FNB-30250,2024-01-04,January,1,Madu Hutan 500ml,Superfood,2,150000,5,285000,Surabaya,Website,4.7
FNB-30044,2024-01-05,January,1,Granola Original,Snack,5,75000,10,337500,Yogyakarta,Shopee,4.5
FNB-30099,2024-01-05,January,1,Teh Matcha Premium,Teh,6,120000,5,684000,Semarang,Shopee,5.0
FNB-30074,2024-01-08,January,1,Teh Herbal Camomile,Teh,6,45000,0,270000,Makassar,Shopee,4.4
FNB-30228,2024-01-11,January,1,Granola Coklat,Snack,3,80000,0,240000,Surabaya,Shopee,4.5
FNB-30314,2024-01-11,January,1,Oat Instan 1kg,Sereal,1,55000,0,55000,Surabaya,Website,4.5
FNB-30055,2024-01-12,January,1,Kopi Robusta 500g,Kopi,3,65000,0,195000,Jakarta,Website,4.5
FNB-30148,2024-01-12,January,1,Madu Hutan 500ml,Superfood,2,150000,10,270000,Palembang,Tokopedia,4.9
FNB-30065,2024-01-13,January,1,Madu Hutan 500ml,Superfood,2,150000,0,300000,Medan,Website,4.7
FNB-30420,2024-01-13,January,1,Granola Original,Snack,3,75000,10,202500,Bandung,Website,4.5
FNB-30015,2024-01-14,January,1,Kopi Arabica 250g,Kopi,2,85000,0,170000,Surabaya,Website,4.5
FNB-30318,2024-01-15,January,1,Protein Bar Box (12),Sereal,3,180000,10,486000,Semarang,Tokopedia,4.3
FNB-30424,2024-01-15,January,1,Madu Hutan 500ml,Superfood,2,150000,0,300000,Medan,Website,4.1
FNB-30064,2024-01-16,January,1,Kopi Arabica 250g,Kopi,4,85000,0,340000,Medan,Website,4.6
FNB-30169,2024-01-16,January,1,Kopi Arabica 250g,Kopi,4,85000,0,340000,Bandung,Shopee,4.6
FNB-30231,2024-01-18,January,1,Kopi Robusta 500g,Kopi,3,65000,5,185250,Makassar,Tokopedia,4.1
FNB-30360,2024-01-18,January,1,Kopi Arabica 250g,Kopi,2,85000,0,170000,Makassar,Shopee,4.1
FNB-30069,2024-01-19,January,1,Kopi Arabica 250g,Kopi,4,85000,0,340000,Jakarta,Instagram Shop,5.0
FNB-30267,2024-01-19,January,1,Granola Coklat,Snack,4,80000,15,272000,Medan,Shopee,4.3
FNB-30312,2024-01-19,January,1,Teh Herbal Camomile,Teh,4,45000,10,162000,Yogyakarta,Instagram Shop,4.4
FNB-30084,2024-01-20,January,1,Protein Bar Box (12),Sereal,3,180000,0,540000,Yogyakarta,Instagram Shop,4.1
FNB-30269,2024-01-20,January,1,Teh Matcha Premium,Teh,4,120000,0,480000,Bandung,Shopee,5.0
FNB-30325,2024-01-20,January,1,Teh Herbal Camomile,Teh,1,45000,15,38250,Yogyakarta,Website,4.3
FNB-30243,2024-01-21,January,1,Granola Original,Snack,5,75000,0,375000,Medan,Website,4.3
FNB-30334,2024-01-23,January,1,Madu Hutan 500ml,Superfood,1,150000,15,127500,Palembang,Tokopedia,4.6
FNB-30170,2024-01-24,January,1,Teh Herbal Camomile,Teh,2,45000,0,90000,Palembang,Tokopedia,4.1
FNB-30251,2024-01-24,January,1,Oat Instan 1kg,Sereal,7,55000,15,327250,Semarang,Tokopedia,4.1
FNB-30059,2024-01-27,January,1,Oat Instan 1kg,Sereal,4,55000,10,198000,Surabaya,Shopee,4.4
FNB-30102,2024-01-28,January,1,Kopi Robusta 500g,Kopi,5,65000,0,325000,Palembang,Shopee,4.3
FNB-30151,2024-02-01,February,2,Chia Seeds 300g,Superfood,5,95000,5,451250,Makassar,Shopee,4.4
FNB-30347,2024-02-01,February,2,Kopi Robusta 500g,Kopi,3,65000,10,175500,Yogyakarta,Shopee,4.3
FNB-30417,2024-02-03,February,2,Teh Herbal Camomile,Teh,3,45000,10,121500,Palembang,Instagram Shop,4.6
FNB-30087,2024-02-04,February,2,Oat Instan 1kg,Sereal,1,55000,0,55000,Surabaya,Tokopedia,4.8
FNB-30143,2024-02-04,February,2,Kopi Arabica 250g,Kopi,4,85000,0,340000,Yogyakarta,Website,4.7
FNB-30177,2024-02-04,February,2,Oat Instan 1kg,Sereal,3,55000,15,140250,Medan,Shopee,4.7
FNB-30165,2024-02-06,February,2,Kopi Robusta 500g,Kopi,4,65000,0,260000,Palembang,Instagram Shop,5.0
FNB-30447,2024-02-06,February,2,Teh Herbal Camomile,Teh,3,45000,0,135000,Palembang,Instagram Shop,4.4
FNB-30321,2024-02-07,February,2,Madu Hutan 500ml,Superfood,2,150000,10,270000,Jakarta,Website,4.2
FNB-30332,2024-02-07,February,2,Oat Instan 1kg,Sereal,5,55000,0,275000,Surabaya,Tokopedia,4.7
FNB-30049,2024-02-09,February,2,Madu Hutan 500ml,Superfood,6,150000,0,900000,Semarang,Website,4.6
FNB-30445,2024-02-09,February,2,Kopi Robusta 500g,Kopi,6,65000,0,390000,Bandung,Tokopedia,4.5
FNB-30031,2024-02-10,February,2,Granola Coklat,Snack,5,80000,5,380000,Jakarta,Tokopedia,4.7
FNB-30005,2024-02-11,February,2,Teh Matcha Premium,Teh,1,120000,15,102000,Palembang,Shopee,4.5
FNB-30121,2024-02-11,February,2,Teh Herbal Camomile,Teh,2,45000,0,90000,Medan,Tokopedia,4.9
FNB-30489,2024-02-11,February,2,Teh Herbal Camomile,Teh,5,45000,0,225000,Medan,Instagram Shop,4.2
