order_id,date,month,month_num,product,category,qty,unit_price,discount_pct,revenue,city,channel,rating
ORD-10256,2024-01-01,January,1,Tas Selempang,Bags,1,380000,15,323000,Medan,Shopee,3.8
ORD-10355,2024-01-02,January,1,Sepatu Lari Nike,Footwear,2,850000,10,1530000,Palembang,Shopee,4.3
ORD-10020,2024-01-02,January,1,Sandal Jepit Havaianas,Footwear,1,180000,0,180000,Surabaya,Website,3.9
ORD-10381,2024-01-04,January,1,Topi Baseball,Accessories,4,150000,0,600000,Medan,Tokopedia,3.7
ORD-10211,2024-01-04,January,1,Jaket Fleece,Apparel,1,450000,10,405000,Medan,Website,4.6
ORD-10054,2024-01-05,January,1,Kaos Polos Uniqlo,Apparel,2,299000,0,598000,Bandung,Shopee,4.8
ORD-10481,2024-01-06,January,1,Tas Ransel Eiger,Bags,1,650000,25,487500,Semarang,Shopee,4.7
ORD-10384,2024-01-07,January,1,Sepatu Lari Nike,Footwear,1,850000,10,765000,Makassar,Tokopedia,4.7
ORD-10312,2024-01-09,January,1,Celana Jogger,Apparel,1,320000,15,272000,Surabaya,Instagram Shop,4.4
ORD-10358,2024-01-09,January,1,Jaket Fleece,Apparel,1,450000,5,427500,Surabaya,Tokopedia,3.6
ORD-10108,2024-01-09,January,1,Kaos Polos Uniqlo,Apparel,3,299000,10,807300,Medan,Shopee,3.9
ORD-10252,2024-01-10,January,1,Sandal Jepit Havaianas,Footwear,2,180000,5,342000,Bandung,Shopee,4.6
ORD-10182,2024-01-11,January,1,Sepatu Lari Nike,Footwear,2,850000,15,1445000,Medan,Instagram Shop,4.7
ORD-10028,2024-01-11,January,1,Tas Selempang,Bags,3,380000,5,1083000,Medan,Tokopedia,4.6
ORD-10074,2024-01-13,January,1,Sepatu Lari Nike,Footwear,4,850000,5,3230000,Palembang,Shopee,4.7
ORD-10097,2024-01-14,January,1,Sandal Jepit Havaianas,Footwear,1,180000,20,144000,Yogyakarta,Instagram Shop,3.8
ORD-10088,2024-01-15,January,1,Topi Baseball,Accessories,4,150000,15,510000,Yogyakarta,Website,4.8
ORD-10139,2024-01-15,January,1,Tas Selempang,Bags,3,380000,5,1083000,Bandung,Tokopedia,3.5
ORD-10094,2024-01-16,January,1,Jaket Fleece,Apparel,1,450000,5,427500,Jakarta,Shopee,3.9
ORD-10488,2024-01-19,January,1,Sepatu Formal Bata,Footwear,2,720000,20,1152000,Medan,Tokopedia,4.1
ORD-10332,2024-01-19,January,1,Topi Baseball,Accessories,1,150000,25,112500,Bandung,Instagram Shop,4.9
ORD-10060,2024-01-20,January,1,Kacamata Sunglasses,Accessories,2,520000,5,988000,Medan,Website,4.2
ORD-10056,2024-01-21,January,1,Celana Jogger,Apparel,1,320000,5,304000,Medan,Shopee,4.0
ORD-10214,2024-01-22,January,1,Topi Baseball,Accessories,2,150000,0,300000,Palembang,Instagram Shop,4.8
ORD-10227,2024-01-22,January,1,Kacamata Sunglasses,Accessories,1,520000,5,494000,Semarang,Shopee,4.3
ORD-10263,2024-01-22,January,1,Celana Jogger,Apparel,1,320000,10,288000,Yogyakarta,Instagram Shop,4.3
ORD-10066,2024-01-23,January,1,Topi Baseball,Accessories,4,150000,0,600000,Medan,Shopee,3.6
ORD-10008,2024-01-24,January,1,Jaket Fleece,Apparel,1,450000,10,405000,Surabaya,Website,4.8
ORD-10156,2024-01-24,January,1,Celana Jogger,Apparel,1,320000,0,320000,Makassar,Shopee,4.1
ORD-10115,2024-01-24,January,1,Sepatu Lari Nike,Footwear,1,850000,10,765000,Bandung,Shopee,4.6
ORD-10490,2024-01-27,January,1,Tas Ransel Eiger,Bags,1,650000,5,617500,Jakarta,Instagram Shop,3.6
ORD-10117,2024-01-27,January,1,Sandal Jepit Havaianas,Footwear,1,180000,25,135000,Surabaya,Website,4.1
ORD-10093,2024-01-27,January,1,Celana Jogger,Apparel,1,320000,5,304000,Surabaya,Website,4.5
ORD-10471,2024-01-28,January,1,Jaket Fleece,Apparel,1,450000,25,337500,Yogyakarta,Tokopedia,4.2
ORD-10033,2024-01-28,January,1,Kaos Polos Uniqlo,Apparel,1,299000,0,299000,Yogyakarta,Website,4.7
ORD-10287,2024-01-29,January,1,Kaos Polos Uniqlo,Apparel,1,299000,0,299000,Makassar,Tokopedia,4.0
ORD-10012,2024-01-29,January,1,Jaket Fleece,Apparel,3,450000,0,1350000,Semarang,Shopee,3.6
ORD-10480,2024-01-29,January,1,Sandal Jepit Havaianas,Footwear,1,180000,0,180000,Surabaya,Tokopedia,3.7
ORD-10348,2024-01-29,January,1,Kacamata Sunglasses,Accessories,2,520000,0,1040000,Yogyakarta,Shopee,3.6
ORD-10271,2024-01-30,January,1,Kaos Polos Uniqlo,Apparel,4,299000,20,956800,Semarang,Shopee,4.6
ORD-10479,2024-01-30,January,1,Jaket Fleece,Apparel,1,450000,0,450000,Yogyakarta,Tokopedia,4.4
ORD-10040,2024-01-30,January,1,Tas Selempang,Bags,1,380000,0,380000,Semarang,Tokopedia,4.4
ORD-10038,2024-01-31,January,1,Tas Ransel Eiger,Bags,3,650000,20,1560000,Jakarta,Instagram Shop,3.9
ORD-10475,2024-01-31,January,1,Topi Baseball,Accessories,4,150000,10,540000,Yogyakarta,Shopee,4.1
ORD-10029,2024-01-31,January,1,Jaket Fleece,Apparel,3,450000,0,1350000,Jakarta,Website,3.6
ORD-10228,2024-02-01,February,2,Kacamata Sunglasses,Accessories,1,520000,0,520000,Semarang,Instagram Shop,3.6
ORD-10318,2024-02-01,February,2,Tas Ransel Eiger,Bags,1,650000,5,617500,Semarang,Instagram Shop,4.2
ORD-10346,2024-02-01,February,2,Sepatu Formal Bata,Footwear,3,720000,5,2052000,Bandung,Tokopedia,4.8
ORD-10341,2024-02-01,February,2,Kaos Polos Uniqlo,Apparel,2,299000,25,448500,Makassar,Tokopedia,4.5
ORD-10084,2024-02-02,February,2,Topi Baseball,Accessories,1,150000,20,120000,Semarang,Shopee,4.1
ORD-10454,2024-02-02,February,2,Sepatu Formal Bata,Footwear,1,720000,20,576000,Medan,Instagram Shop,4.7
ORD-10262,2024-02-02,February,2,Kacamata Sunglasses,Accessories,1,520000,0,520000,Makassar,Tokopedia,4.7
ORD-10425,2024-02-04,February,2,Sandal Jepit Havaianas,Footwear,1,180000,0,180000,Surabaya,Tokopedia,4.0
ORD-10100,2024-02-05,February,2,Sepatu Formal Bata,Footwear,2,720000,15,1224000,Jakarta,Website,4.7
ORD-10154,2024-02-05,February,2,Jaket Fleece,Apparel,3,450000,10,1215000,Medan,Website,4.2
ORD-10046,2024-02-07,February,2,Sepatu Lari Nike,Footwear,2,850000,25,1275000,Surabaya,Tokopedia,3.8
ORD-10370,2024-02-07,February,2,Jaket Fleece,Apparel,3,450000,5,1282500,Palembang,Tokopedia,4.9
ORD-10191,2024-02-07,February,2,Kaos Polos Uniqlo,Apparel,3,299000,15,762450,Bandung,Tokopedia,3.9
ORD-10474,2024-02-07,February,2,Sepatu Lari Nike,Footwear,1,850000,0,850000,Jakarta,Tokopedia,3.6
ORD-10118,2024-02-07,February,2,Tas Selempang,Bags,1,380000,0,380000,Bandung,Tokopedia,4.3
ORD-10123,2024-02-08,February,2,Tas Ransel Eiger,Bags,3,650000,0,1950000,Yogyakarta,Shopee,4.4
ORD-10396,2024-02-08,February,2,Celana Jogger,Apparel,1,320000,20,256000,Semarang,Tokopedia,3.9
ORD-10090,2024-02-12,February,2,Topi Baseball,Accessories,1,150000,0,150000,Palembang,Tokopedia,3.9
ORD-10404,2024-02-13,February,2,Sepatu Formal Bata,Footwear,1,720000,5,684000,Bandung,Shopee,3.8
ORD-10024,2024-02-13,February,2,Kacamata Sunglasses,Accessories,3,520000,0,1560000,Bandung,Tokopedia,4.2
ORD-10338,2024-02-14,February,2,Topi Baseball,Accessories,1,150000,0,150000,Bandung,Instagram Shop,4.2
ORD-10444,2024-02-14,February,2,Kacamata Sunglasses,Accessories,3,520000,0,1560000,Medan,Tokopedia,4.6
ORD-10226,2024-02-16,February,2,Tas Selempang,Bags,2,380000,20,608000,Palembang,Shopee,4.9
ORD-10205,2024-02-16,February,2,Sepatu Formal Bata,Footwear,1,720000,5,684000,Yogyakarta,Shopee,4.0
