order_id,date,month,month_num,product,category,qty,unit_price,discount_pct,revenue,city,channel,rating
ELK-20132,2024-01-01,January,1,Keyboard Mechanical,Aksesoris,1,899000,0,899000,Jakarta,Website,4.1
ELK-20151,2024-01-01,January,1,Samsung Galaxy A55,Smartphone,1,5499000,0,5499000,Medan,Tokopedia,4.1
ELK-20273,2024-01-01,January,1,Samsung Tab A9,Tablet,1,3299000,15,2804150,Surabaya,Website,4.0
ELK-20450,2024-01-01,January,1,Mouse Logitech MX,Aksesoris,2,1299000,10,2338200,Bandung,Tokopedia,4.4
ELK-20297,2024-01-03,January,1,Samsung Galaxy A55,Smartphone,1,5499000,5,5224050,Medan,Website,4.6
ELK-20054,2024-01-06,January,1,TWS Earbuds Xiaomi,Audio,1,399000,15,339150,Makassar,Tokopedia,4.4
ELK-20149,2024-01-06,January,1,iPad Air,Tablet,2,9999000,10,17998200,Semarang,Website,4.7
ELK-20389,2024-01-06,January,1,Laptop ASUS VivoBook,Laptop,1,8999000,0,8999000,Semarang,Tokopedia,4.5
ELK-20124,2024-01-08,January,1,Samsung Tab A9,Tablet,3,3299000,0,9897000,Palembang,Shopee,4.7
ELK-20322,2024-01-08,January,1,Laptop ASUS VivoBook,Laptop,1,8999000,5,8549050,Semarang,Shopee,4.3
ELK-20083,2024-01-10,January,1,TWS Earbuds Xiaomi,Audio,1,399000,10,359100,Palembang,Shopee,4.9
ELK-20433,2024-01-11,January,1,Keyboard Mechanical,Aksesoris,1,899000,20,719200,Makassar,Tokopedia,4.0
ELK-20307,2024-01-12,January,1,Keyboard Mechanical,Aksesoris,1,899000,20,719200,Medan,Shopee,4.7
ELK-20426,2024-01-12,January,1,Sony WH-1000XM5,Audio,3,4299000,20,10317600,Palembang,Shopee,4.7
ELK-20103,2024-01-13,January,1,Laptop Lenovo IdeaPad,Laptop,1,7499000,5,7124050,Yogyakarta,Shopee,3.9
ELK-20201,2024-01-13,January,1,Keyboard Mechanical,Aksesoris,1,899000,0,899000,Palembang,Tokopedia,4.9
ELK-20074,2024-01-14,January,1,Sony WH-1000XM5,Audio,2,4299000,0,8598000,Bandung,Shopee,4.8
ELK-20270,2024-01-14,January,1,Sony WH-1000XM5,Audio,1,4299000,5,4084050,Makassar,Tokopedia,4.0
ELK-20336,2024-01-15,January,1,Keyboard Mechanical,Aksesoris,2,899000,0,1798000,Semarang,Website,3.8
ELK-20379,2024-01-15,January,1,Keyboard Mechanical,Aksesoris,1,899000,0,899000,Jakarta,Website,4.8
ELK-20251,2024-01-16,January,1,iPad Air,Tablet,1,9999000,10,8999100,Makassar,Website,4.0
ELK-20334,2024-01-16,January,1,Laptop Lenovo IdeaPad,Laptop,1,7499000,15,6374150,Jakarta,Website,4.4
ELK-20127,2024-01-17,January,1,TWS Earbuds Xiaomi,Audio,1,399000,0,399000,Jakarta,Shopee,4.5
ELK-20483,2024-01-18,January,1,Samsung Tab A9,Tablet,1,3299000,10,2969100,Bandung,Shopee,4.6
ELK-20224,2024-01-19,January,1,iPhone 15,Smartphone,1,14999000,10,13499100,Bandung,Tokopedia,4.1
ELK-20325,2024-01-19,January,1,Laptop ASUS VivoBook,Laptop,1,8999000,0,8999000,Semarang,Website,4.8
ELK-20019,2024-01-20,January,1,Sony WH-1000XM5,Audio,1,4299000,20,3439200,Yogyakarta,Website,4.1
ELK-20070,2024-01-20,January,1,iPad Air,Tablet,1,9999000,0,9999000,Semarang,Tokopedia,3.9
